# File Name: /Volumes/SHARED/Mallory/data/2023/12-23/IAV_burstsize_12-11-23/burstsize_ost_qs3_2023-12-13-112357_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272321126
# Instrument Serial Number: 272321126
# Heated Cover Serial Number:
# Block Serial Number: 33160298
# Run Start Date/Time: 2023-12-13 11:54:12 AM CST
# Run End Date/Time: 2023-12-13 01:49:43 PM CST
# Run Duration: 115 minutes 30 seconds
# Sample Volume: 25.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-14 11:36:34 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2024-03-13 11:36:12 AM CDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"2","A2","34","Target 1","0.2482922077178955","0.0024689532309838855","+ost 0 hpi","false"
"2","A2","35","Target 1","0.25091394782066345","0.00466702113040445","+ost 0 hpi","false"
"2","A2","36","Target 1","0.2539127469062805","0.007242148012674162","+ost 0 hpi","false"
"2","A2","37","Target 1","0.2586345374584198","0.011540266361466064","+ost 0 hpi","false"
"2","A2","38","Target 1","0.26588186621665955","0.018363922916358428","+ost 0 hpi","false"
"2","A2","39","Target 1","0.27449819445610046","0.026556578952451993","+ost 0 hpi","false"
"2","A2","40","Target 1","0.2844048738479614","0.03603958614096558","+ost 0 hpi","false"
"3","A3","1","Target 1","0.22630377113819122","0.0022537646390439667","- ost 0 hpi","false"
"3","A3","2","Target 1","0.2263282984495163","0.002013643548406404","- ost 0 hpi","false"
"3","A3","3","Target 1","0.22585159540176392","0.0012722920986913873","- ost 0 hpi","false"
"3","A3","4","Target 1","0.22588004171848297","0.0010360900134478064","- ost 0 hpi","false"
"3","A3","5","Target 1","0.22648370265960693","0.0013751025526091327","- ost 0 hpi","false"
"3","A3","6","Target 1","0.22620518505573273","8.319365467722901E-4","- ost 0 hpi","false"
"3","A3","7","Target 1","0.22604551911354065","4.076222026175765E-4","- ost 0 hpi","false"
"3","A3","8","Target 1","0.22629427909851074","3.917337856250332E-4","- ost 0 hpi","false"
"3","A3","9","Target 1","0.22650586068630219","3.3866697145384E-4","- ost 0 hpi","false"
"3","A3","10","Target 1","0.22674870491027832","3.168627934673392E-4","- ost 0 hpi","false"
"3","A3","11","Target 1","0.22659431397914886","-1.0217653962475243E-4","- ost 0 hpi","false"
"3","A3","12","Target 1","0.2258138507604599","-0.0011472881602763534","- ost 0 hpi","false"
"3","A3","13","Target 1","0.22587482631206512","-0.0013509610106337648","- ost 0 hpi","false"
"3","A3","14","Target 1","0.2266482710838318","-8.421646408297383E-4","- ost 0 hpi","false"
"3","A3","15","Target 1","0.22659045457839966","-0.0011646295482245033","- ost 0 hpi","false"
"3","A3","16","Target 1","0.22700180113315582","-0.0010179313954309748","- ost 0 hpi","false"
"3","A3","17","Target 1","0.22788099944591522","-4.0338148463421136E-4","- ost 0 hpi","false"
"3","A3","18","Target 1","0.22816573083400726","-3.832984985048064E-4","- ost 0 hpi","false"
"3","A3","19","Target 1","0.2285892516374588","-2.2442609701590438E-4","- ost 0 hpi","false"
"3","A3","20","Target 1","0.228696808218956","-3.8151791748134806E-4","- ost 0 hpi","false"
"3","A3","21","Target 1","0.22881287336349487","-5.301011749051325E-4","- ost 0 hpi","false"
"3","A3","22","Target 1","0.22882920503616333","-7.784179041992838E-4","- ost 0 hpi","false"
"3","A3","23","Target 1","0.2289234846830368","-9.487866592884735E-4","- ost 0 hpi","false"
"3","A3","24","Target 1","0.2296229600906372","-5.139596536507067E-4","- ost 0 hpi","false"
"3","A3","25","Target 1","0.22971829771995544","-6.832704262951055E-4","- ost 0 hpi","false"
"3","A3","26","Target 1","0.22964152693748474","-0.0010246896107284447","- ost 0 hpi","false"
"3","A3","27","Target 1","0.22990573942661285","-0.001025125523562968","- ost 0 hpi","false"
"3","A3","28","Target 1","0.2310604602098465","-1.3505314229196136E-4","- ost 0 hpi","false"
"3","A3","29","Target 1","0.23210960626602173","6.494445119206345E-4","- ost 0 hpi","false"
"3","A3","30","Target 1","0.23250101506710052","7.762049110367948E-4","- ost 0 hpi","false"
"3","A3","31","Target 1","0.23325099050998688","0.0012615319519605113","- ost 0 hpi","false"
"3","A3","32","Target 1","0.2362537980079651","0.0039996910479760854","- ost 0 hpi","false"
"3","A3","33","Target 1","0.24083678424358368","0.008318028881632042","- ost 0 hpi","false"
"3","A3","34","Target 1","0.247564896941185","0.014781493177270724","- ost 0 hpi","false"
"3","A3","35","Target 1","0.2601530849933624","0.027105032827485515","- ost 0 hpi","false"
"3","A3","36","Target 1","0.28083083033561707","0.04751812976777752","- ost 0 hpi","false"
"3","A3","37","Target 1","0.3174103796482086","0.08383303067840643","- ost 0 hpi","false"
"3","A3","38","Target 1","0.3743981122970581","0.1405561149252933","- ost 0 hpi","false"
"3","A3","39","Target 1","0.45502808690071106","0.22092144112698361","- ost 0 hpi","false"
"3","A3","40","Target 1","0.5352780222892761","0.300906728113586","- ost 0 hpi","false"
"4","A4","1","Target 1","0.2373005449771881","0.0014151583468535395","-H1-OST 24 hpi","false"
"4","A4","2","Target 1","0.23762652277946472","0.001582932901812017","-H1-OST 24 hpi","false"
"4","A4","3","Target 1","0.23713865876197815","9.368656370073387E-4","-H1-OST 24 hpi","false"
"4","A4","4","Target 1","0.23708076775074005","7.207713784511345E-4","-H1-OST 24 hpi","false"
"4","A4","5","Target 1","0.23710349202156067","5.852924019536461E-4","-H1-OST 24 hpi","false"
"4","A4","6","Target 1","0.23709994554519653","4.235426782713765E-4","-H1-OST 24 hpi","false"
"4","A4","7","Target 1","0.2373598963022232","5.252901879799428E-4","-H1-OST 24 hpi","false"
"4","A4","8","Target 1","0.23699869215488434","5.882793322969487E-6","-H1-OST 24 hpi","false"
"4","A4","9","Target 1","0.23682840168476105","-3.2261092411845535E-4","-H1-OST 24 hpi","false"
"4","A4","10","Target 1","0.2372276484966278","-8.156735956980121E-5","-H1-OST 24 hpi","false"
"4","A4","11","Target 1","0.23796765506267548","5.002359591597612E-4","-H1-OST 24 hpi","false"
"4","A4","12","Target 1","0.23790931701660156","2.836946657677415E-4","-H1-OST 24 hpi","false"
"4","A4","13","Target 1","0.2379547357559204","1.709101577684553E-4","-H1-OST 24 hpi","false"
"4","A4","14","Target 1","0.23806160688400269","1.1957803853262461E-4","-H1-OST 24 hpi","false"
"4","A4","15","Target 1","0.2381172776222229","1.704552943473337E-5","-H1-OST 24 hpi","false"
"4","A4","16","Target 1","0.23811408877372742","-1.4434656637888387E-4","-H1-OST 24 hpi","false"
"4","A4","17","Target 1","0.237667977809906","-7.486607775184011E-4","-H1-OST 24 hpi","false"
"4","A4","18","Target 1","0.2378222942352295","-7.525475995130208E-4","-H1-OST 24 hpi","false"
"4","A4","19","Target 1","0.23842066526412964","-3.1237981793098043E-4","-H1-OST 24 hpi","false"
"4","A4","20","Target 1","0.237827867269516","-0.0010633810598627618","-H1-OST 24 hpi","false"
"4","A4","21","Target 1","0.23786847293376923","-0.001180978642927633","-H1-OST 24 hpi","false"
"4","A4","22","Target 1","0.238503098487854","-7.045563361609612E-4","-H1-OST 24 hpi","false"
"4","A4","23","Target 1","0.23876145482063293","-6.044032507001644E-4","-H1-OST 24 hpi","false"
"4","A4","24","Target 1","0.23902590572834015","-4.981555903110561E-4","-H1-OST 24 hpi","false"
"4","A4","25","Target 1","0.2391023188829422","-5.799456830271114E-4","-H1-OST 24 hpi","false"
"4","A4","26","Target 1","0.23920197784900665","-6.384899642807922E-4","-H1-OST 24 hpi","false"
"4","A4","27","Target 1","0.23947350680828094","-5.251642523246063E-4","-H1-OST 24 hpi","false"
"4","A4","28","Target 1","0.24023203551769257","7.516120976890873E-5","-H1-OST 24 hpi","false"
"4","A4","29","Target 1","0.24054861068725586","2.335331320140961E-4","-H1-OST 24 hpi","false"
"4","A4","30","Target 1","0.24094204604625702","4.6876524369712195E-4","-H1-OST 24 hpi","false"
"4","A4","31","Target 1","0.24059224128723145","-3.92427626465579E-5","-H1-OST 24 hpi","false"
"4","A4","32","Target 1","0.24026568233966827","-5.240049575278353E-4","-H1-OST 24 hpi","false"
"4","A4","33","Target 1","0.24064135551452637","-3.065350299878482E-4","-H1-OST 24 hpi","false"
"4","A4","34","Target 1","0.24143314361572266","3.2704982389030704E-4","-H1-OST 24 hpi","false"
"4","A4","35","Target 1","0.24157202243804932","3.077253988988611E-4","-H1-OST 24 hpi","false"
"4","A4","36","Target 1","0.24172966182231903","3.071615358504694E-4","-H1-OST 24 hpi","false"
"4","A4","37","Target 1","0.2422781139612198","6.974104274330924E-4","-H1-OST 24 hpi","false"
"4","A4","38","Target 1","0.24285447597503662","0.0011155691939318197","-H1-OST 24 hpi","false"
"4","A4","39","Target 1","0.24310259521007538","0.001205485181652471","-H1-OST 24 hpi","false"
"4","A4","40","Target 1","0.24418066442012787","0.0021253511443868273","-H1-OST 24 hpi","false"
"13","B1","1","Target 1","0.21441762149333954","0.003969421982765181","m gene 10^7","false"
"13","B1","2","Target 1","0.2151775062084198","0.002118849754333496","m gene 10^7","false"
"13","B1","3","Target 1","0.21645519137382507","7.860779762267956E-4","m gene 10^7","false"
"13","B1","4","Target 1","0.2181621640920639","-1.1740624904632005E-4","m gene 10^7","false"
"13","B1","5","Target 1","0.22007429599761963","-8.157312870025689E-4","m gene 10^7","false"
"13","B1","6","Target 1","0.22233985364437103","-0.0011606305837631114","m gene 10^7","false"
"13","B1","7","Target 1","0.22741863131523132","0.0013076901435852052","m gene 10^7","false"
"13","B1","8","Target 1","0.2363705039024353","0.00764910578727721","m gene 10^7","false"
"13","B1","9","Target 1","0.25313088297843933","0.021799027919769294","m gene 10^7","false"
"13","B1","10","Target 1","0.28611454367637634","0.05217223167419433","m gene 10^7","false"
"13","B1","11","Target 1","0.3465060293674469","0.10995326042175294","m gene 10^7","false"
"13","B1","12","Target 1","0.4516451954841614","0.21248196959495544","m gene 10^7","false"
"13","B1","13","Target 1","0.62109375","0.3793200671672821","m gene 10^7","false"
"13","B1","14","Target 1","0.8643938302993774","0.6200096905231476","m gene 10^7","false"
"13","B1","15","Target 1","1.1725668907165527","0.9255722939968108","m gene 10^7","false"
"13","B1","16","Target 1","1.5096150636672974","1.2600100100040434","m gene 10^7","false"
"13","B1","17","Target 1","1.8370696306228638","1.584854120016098","m gene 10^7","false"
"13","B1","18","Target 1","2.130298376083374","1.8754724085330963","m gene 10^7","false"
"13","B1","19","Target 1","2.375969886779785","2.1185334622859955","m gene 10^7","false"
