# File Name: /Volumes/SHARED/Mallory/data/2023/12-23/IAV_burstsize_12-11-23/burstsize_ost_qs3_2023-12-13-112357_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272321126
# Instrument Serial Number: 272321126
# Heated Cover Serial Number:
# Block Serial Number: 33160298
# Run Start Date/Time: 2023-12-13 11:54:12 AM CST
# Run End Date/Time: 2023-12-13 01:49:43 PM CST
# Run Duration: 115 minutes 30 seconds
# Sample Volume: 25.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-12-14 11:36:34 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2024-03-13 11:36:13 AM CDT
"Well","Well Position","Cycle Number","FAM","ROX"
"25","C1","39","1272216.0","397873.6"
"25","C1","40","1272652.0","397817.1"
"25","C1","41","1274710.2","397985.12"
"26","C2","1","73960.54","270810.47"
"26","C2","2","105273.945","417421.3"
"26","C2","3","105522.62","417663.1"
"26","C2","4","105753.38","418170.25"
"26","C2","5","105827.2","418114.53"
"26","C2","6","105967.516","417977.06"
"26","C2","7","105954.9","417824.62"
"26","C2","8","106110.33","417430.75"
"26","C2","9","106372.96","417095.94"
"26","C2","10","106552.055","416889.3"
"26","C2","11","106347.02","416530.12"
"26","C2","12","106029.734","415970.2"
"26","C2","13","105953.32","415633.84"
"26","C2","14","106231.164","415476.0"
"26","C2","15","106372.69","415278.0"
"26","C2","16","106333.07","415099.4"
"26","C2","17","106334.305","414809.75"
"26","C2","18","106381.125","414314.53"
"26","C2","19","106791.32","414025.34"
"26","C2","20","107132.66","413899.0"
"26","C2","21","107013.67","413698.1"
"26","C2","22","106859.914","413484.88"
"26","C2","23","106913.805","413060.2"
"26","C2","24","107172.37","412793.38"
"26","C2","25","107283.484","412688.84"
"26","C2","26","107813.8","412760.3"
"26","C2","27","108172.36","412637.12"
"26","C2","28","108272.82","412483.25"
"26","C2","29","108754.29","412101.97"
"26","C2","30","108784.15","411808.2"
"26","C2","31","108761.13","411626.44"
"26","C2","32","109257.75","411504.5"
"26","C2","33","109865.96","411351.28"
"26","C2","34","110378.71","411139.62"
"26","C2","35","111277.93","410757.8"
"26","C2","36","112267.25","410584.62"
"26","C2","37","113949.5","410483.0"
"26","C2","38","116293.93","410208.97"
"26","C2","39","119702.52","409936.03"
"26","C2","40","124525.65","409649.56"
"26","C2","41","129870.68","409585.62"
"27","C3","1","72564.29","264529.1"
"27","C3","2","102582.6","423625.28"
"27","C3","3","102908.92","423620.38"
"27","C3","4","103148.42","423437.28"
"27","C3","5","103200.68","423113.88"
"27","C3","6","102862.84","422833.5"
"27","C3","7","102644.82","422289.84"
"27","C3","8","102616.86","421855.56"
"27","C3","9","102825.49","421368.7"
"27","C3","10","102767.68","420660.2"
"27","C3","11","102468.25","420242.0"
"27","C3","12","102361.68","419981.7"
"27","C3","13","102367.22","419740.72"
"27","C3","14","102405.695","419169.62"
"27","C3","15","102516.414","418800.94"
"27","C3","16","102470.5","418552.62"
"27","C3","17","102404.0","418321.8"
"27","C3","18","102404.14","418009.9"
"27","C3","19","102539.12","417572.4"
"27","C3","20","102631.195","417308.7"
"27","C3","21","102624.24","417196.6"
"27","C3","22","102749.37","416838.22"
"27","C3","23","102802.164","416258.72"
"27","C3","24","102839.75","415996.22"
"27","C3","25","103188.19","415945.78"
"27","C3","26","103279.28","415833.22"
"27","C3","27","103545.695","415710.06"
"27","C3","28","103561.984","415336.8"
"27","C3","29","103685.53","415107.2"
"27","C3","30","103702.48","414955.7"
"27","C3","31","103745.01","414782.12"
"27","C3","32","103754.67","414622.8"
"27","C3","33","104142.41","414540.0"
"27","C3","34","104421.13","414598.6"
"27","C3","35","104750.16","414463.34"
"27","C3","36","105088.56","414137.78"
"27","C3","37","105640.914","413748.16"
"27","C3","38","106779.06","413440.72"
"27","C3","39","108556.766","413228.8"
"27","C3","40","111258.445","413026.1"
"27","C3","41","114443.76","412980.53"
"28","C4","1","71203.91","256570.69"
"28","C4","2","111219.945","416194.8"
"28","C4","3","111571.31","416068.56"
"28","C4","4","111711.15","415768.66"
"28","C4","5","111978.11","415820.75"
"28","C4","6","111837.27","416034.4"
"28","C4","7","111405.945","415223.44"
"28","C4","8","111191.32","414702.7"
"28","C4","9","111065.914","414301.5"
"28","C4","10","110872.164","413929.16"
"28","C4","11","110557.055","413516.44"
"28","C4","12","110378.75","413108.16"
"28","C4","13","110189.945","412523.84"
"28","C4","14","110027.96","412055.4"
"28","C4","15","109737.414","411345.34"
"28","C4","16","109740.41","410946.28"
"28","C4","17","110026.27","410568.8"
"28","C4","18","110200.445","410167.47"
